title,label,label_score
Lewat Seni Anak-Anak akan Tampil Percaya Diri Hingga Dewasa,non-clickbait,0
"5 Manfaat Pilates untuk Ibu Hamil, Apa Saja?",clickbait,1
Pentingnya Sarapan dengan Makanan Padat untuk Anak,clickbait,1
"Selalu Ingin Tahu, 5 Zodiak Ini Tidak Bisa Menghargai Privasi Orang Lain",clickbait,1
3 Jenis Diet untuk Organ Intim Lebih Sehat,clickbait,1
"Move On, Ini 5 Tanda Mantan Tak Akan Mengajakmu Balikan",clickbait,1
Mengenal Bahaya Memakai Baju Baru Tanpa Dicuci Dulu,clickbait,1
"Minum Secangkir Tiap Hari, Cokelat Panas Bisa Mencegah Diabetes",non-clickbait,0
"Pertengkaran dengan Pasangan Bisa Memperkuat Hubungan, Benarkah?",clickbait,1
Apakah Ada Manfaat Minum Air Mineral? Ini Faktanya,clickbait,1
Jatuh Cinta Sewajarnya Saja agar Tak Berujung Saling Menyakiti,non-clickbait,0
5 Tips Menyimpan Uang untuk Membeli Rumah Pertama,clickbait,1
Tips Membuat Kamar Bayi Hemat Budget,clickbait,1
Resep Tumis Pakcoy Bawang Putih Praktis 2 Bahan,non-clickbait,0
"Tetap Tidur Lelap, Begini Cara Minum Kopi Tanpa Harus Melek Semalaman",clickbait,1
"Mudah Bimbang, 5 Zodiak Ini Sering Dipengaruhi Orang Lain",clickbait,1
Tips Menggunakan Kemiri dalam Masakan agar Lebih Sedap,non-clickbait,0
"Menikmati Pameran Lukisan Random dari Seniman Muda, Farrah Faustine",non-clickbait,0
"Suka Kepo, 4 Zodiak Ini Paling Sering Mengganggu Privasi Temannya!",clickbait,1
Resep Sederhana Tumis Udang Bumbu Bawang Putih,non-clickbait,0
Minum Cokelat Panas Bantu Cegah Kerusakan Sel Otak Karena Stroke,non-clickbait,0
Rasa Ingin Memiliki Belum Tentu Artinya Sama dengan Cinta Sejati,non-clickbait,0
5 Mantra yang Jadi Kekuatan Para Extra Women Saat Memperjuangkan Passion,clickbait,1
"6 Zodiak yang Diprediksi Paling Jahat, Mengapa?",clickbait,1
"Menu Hari Ini: Fuyunghai Mie Instan, Tumis Tauge dan Rolade Sayur",non-clickbait,0
Edukasi Pemenuhan Gizi yang Tepat untuk Segala Kalangan,non-clickbait,0
Resep Tumis Bayam Saus Tiram Sedap,non-clickbait,0
"Penelitian Membuktikan, Kebahagiaan Istri Tentukan Keutuhan Pernikahan",non-clickbait,0
Resep Gateau Chocolate tanpa Tepung,non-clickbait,0
"Polemik PB Djarum-KPAI, Beasiswa atau Eksploitasi?",clickbait,1
5 Inspirasi Masakan Praktis Terbuat dari Daging Ayam,clickbait,1
Pilihan Beragam Profesi dan Jenjang Karier yang Menjanjikan di Perusahaan Asuransi,non-clickbait,0
"Kepribadian Ungkap Cara Menghabiskan Uang, Begini Jika Kamu Ekstrovert",clickbait,1
Cinta Itu Indah tapi Juga Rumit,non-clickbait,0
"Dalam Sehari, Maksimalnya Berapa Kali Suami Istri Bisa Berhubungan Intim?",clickbait,1
Hindari Kesalahan Sepele yang Bikin Tidur Kurang Nyenyak,non-clickbait,0
7 Tahun Kehilangan Sahabat karena Sebuah Kata Cinta,non-clickbait,0
Tips Menyimpan Ragi Agar Tetap Aktif dan Awet Tahan Lama,non-clickbait,0
Raffi Ahmad Blak-blakan Soal Kirim Bunga ke Desy Ratnasari,clickbait,1
"Setelah Gading Marten, Della Dartyan Sukses Taklukkan Adipati Dolken",non-clickbait,0
Kim Kardashian dan Kanye West Kencan di Malibu,non-clickbait,0
"4 Foto Terbaru Yeonwoo Momoland setelah Vakum, Wajah Berubah?",clickbait,1
Momen Romantis Justin Bieber dan Hailey Baldwin saat Kencan di Pantai,non-clickbait,0
Caesar Hito Siap Naik Pelaminan Tahun Depan,non-clickbait,0
Film Green Religion tak Kalah Kompleks dengan Pemaparan Leonardo DiCaprio,non-clickbait,0
Fans Menduga Camila Cabello Rilis Lagu Terbaru untuk Shawn Mendes,non-clickbait,0
Totalitas Aaliyah Massaid Manggung di ON OFF FESTIVAL,non-clickbait,0
"Cerita Melahirkan Sandra Dewi, dari Lupa Hamil sampai Posisi Sungsang",non-clickbait,0
Dian Sastrowardoyo Sempat Menyesal Jadi Artis Peran,non-clickbait,0
"Dikritik Soal Foto Bikini, Ini Tanggapan Shandy Aulia",clickbait,1
"Akibat Pergaulan Bebas, Bastian Steel Harus Nikah Muda dan Punya Anak",non-clickbait,0
"4 Album Terlaris 2019, BTS Sementara Duduki Posisi Pertama",clickbait,1
Ari Lasso Tandai Karier dengan Konser Tunggal Perjalanan Panjang,non-clickbait,0
Fakta Sandra Dewi Melahirkan Anak Kedua,clickbait,1
Serunya Meet n Greet Michelle Ziudith dan Megantara di On Off Festival Hari Kedua,clickbait,1
Perempuan Tanah Jahanam Bakal Lebih Seram dari Pengabdi Setan,non-clickbait,0
"Kabar Hamil Makin Santer, Syahrini Akui Kurangi Job Nyanyi",non-clickbait,0
Rencana Taylor Swift Perjuangkan Karyanya yang Dirampas,non-clickbait,0
"Lantaran Perannya di Film, Della Dartyan Jadi Lebih Relate dengan Zodiak Sagitarius",non-clickbait,0
Ini Pengakuan Kim Kardashian Mengenai Psalm West,clickbait,1
"Bukan Teknis, Ini Tantangan Berat Ari Lasso Tur di 3 Kota",clickbait,1
Miley Cyrus dan Kaitlynn Carter Makin Mesra di Depan Publik,non-clickbait,0
"Lorong, Jadi Film Comeback dari Winky Wiryawan?",clickbait,1
Melihat Pribadi Shandy Aulia lewat Zodiak Cancer,non-clickbait,0
Fakta Sidang Perdana Kasus Narkoba Jefri Nichol,non-clickbait,0
"Jangan Sampai Terlewatkan, Penggunaan Toner pada Rutinitas Perawatan Kulitmu",clickbait,1
Kandungan Wajib pada Toner Sesuai dengan Kondisi Kulit Wajahmu,clickbait,1
9 Perawatan Kulit untuk Mengatasi Masalah Bintik-Bintik Gelap,clickbait,1
Serba-Serbi Penggunaan Asam Lemak di Kulit Wajah,non-clickbait,0
5 Rahasia Kecantikan Tradisional para Perempuan Tiongkok,clickbait,1
Inovasi Perawatan Kulit Korea dalam Delapan Langkah,clickbait,1
Tips Merawat dan Menata Rambut Tipis Agar Tampak Bervolume,clickbait,1
Rekomendasi Essential Oil dengan Kandungan Tea Tree yang Kulit Berjerawat,clickbait,1
4 Manfaat Alpukat Untuk Kecantikan dari Wajah Sampai Rambut,clickbait,1
Cari Tahu Tentang Eksfoliasi Kulit dan Cara Tepat Melakukannya,clickbait,1
5 Rahasia Kecantikan Perempuan Asia,clickbait,1
Tips Melakukan Puasa Kulit,clickbait,1
8 Kebiasaan yang Bikin Kamu Lebih Awet Muda,clickbait,1
Orangtua Wajib Memberi Contoh jika Ingin Anak Suka Sayur dan Buah,non-clickbait,0
Gerakan Daur Ulang untuk Lingkungan dan Bernilai Ekonomi,non-clickbait,0
Sebenarnya Apa Kegunaan Kencur dalam Masakan?,clickbait,1
Resep Sayap Ayam Empuk Bumbu Kuning,non-clickbait,0
Resep Buntil Daun Pepaya Gurih Sedap,non-clickbait,0
"Menu Hari Ini: Nasi Goreng Mangga, Tumis Pakcoy dan Lontong Mie",non-clickbait,0
5 Zodiak yang Sering Melanggar Privasi Seseorang,clickbait,1
"Ekspedisi Segaris, Perjalanan 90 Hari Keliling Indonesia Lewat Serial Web",non-clickbait,0
Launching Smartfren WOW Dimeriahkan Selebriti dan Undian Berhadiah Rumah,non-clickbait,0
Cinta Datang Kapan Saja meski Tak Selalu Bisa Dimiliki,non-clickbait,0
Mencintai Seseorang dalam Diam Harus Tegar Menahan Rindu Sendirian,clickbait,1
"Kisruh PB Djarum vs KPAI, Tolak Belakang Industri Rokok dan Olahraga",non-clickbait,0
"Susu Bubuk dan Susu Cair Sama Baiknya, Ini Kata Ahli",clickbait,1
4 Tanda Pasangan Siap Berkomitmen dalam Hubungan,clickbait,1
Resep Cah Baby Kailan dengan Bumbu Bawang Putih,non-clickbait,0
"Di Saat Pasrah, Jodoh Datang Menawarkan Masa Depan Terindah",non-clickbait,0
"Tidak Suka Berbohong, 5 Zodiak Ini Dikenal Paling Jujur",clickbait,1
5 Cara Menghilangkan Bau Mulut yang Berasal dari Dalam Perut,clickbait,1
Sering Stres Karena Masalah Uang? Simak Tips Mengatur Keuangan Ini,clickbait,1
Berapa Lama Baiknya Membiarkan Adonan Mengembang Sempurna?,clickbait,1
Cerita Nadhila QP Ngajar Beauty Class di On Off Festival 2019,clickbait,1
4 Zodiak yang Kesulitan Berterima Kasih ke Orang Lain,clickbait,1
5 Inspirasi Camilan Enak Berbahan Dasar Labu Kuning,clickbait,1
4 Tips Efektif Melangsingkan Perut dengan Planking,clickbait,1
"Terima Kasih Sudah Singgah di Hidupku, meski Hanya sebagai Sahabat",non-clickbait,0
Saksikan Keseruan Pertunjukan Musikal dan Aksi Ryder Bersama Para Pups Adventure Bay dari Serial Paw Patrol Secara Langsung,non-clickbait,0
Mencoba Bermain Game Online dengan Samsung Galaxy A50s,non-clickbait,0
"Studi Membuktikan, Perempuan Lebih Mudah Mencintai Jika Perutnya Kenyang",non-clickbait,0
5 Zodiak Paling Anarkis dan Selalu Membangkang Terhadap Otoritas untuk Bisa Hidup Bebas,clickbait,1
Mengintip Spesifikasi Canggih Hingga Harga iPhone 11,clickbait,1
"Optimalkan Generasi Sebelumnya, Samsung Galaxy A50s Hadirkan Kamera 48MP untuk Milenial",non-clickbait,0
"Tetap Bertahan Usai Bertengkar, Tanda Hubungan Siap Dibawa ke Pelaminan",clickbait,1
Mengenang B.J. Habibie Lewat Quotes Tentang Cita-cita dan Cinta,non-clickbait,0
7 Kebiasaan Kecil yang Ternyata Toxic Buat Hubungan Cintamu,clickbait,1
Apakah Kulit Ubi Bisa Dimakan? Apa Manfaatnya?,clickbait,1
"Jika Jalanmu Cepat, Seperti Ini Tipe Kepribadianmu",clickbait,1
"Kulit Ubi Jalan Kaya Nutrisi, Ini Cara Makan Ubi Jalar Bersama Kulitnya",clickbait,1
Fashion Item BJ Habibie yang jadi Penghuni Museum Kepresidenan RI,non-clickbait,0
4 Gaya Autentik BJ Habibie yang Menjadi Kenangan,clickbait,1
Masa Berkabung Nasional 3 Hari Sejak BJ Habibie Meninggal Dunia,non-clickbait,0
"Sakit hingga Bosan, Alasan Perempuan Memalsukan Kepuasan Seksualnya",clickbait,1
Selamat Bertemu Kembali dengan Kekasih Hati di Keabadian Habibie,non-clickbait,0
Melihat Uniknya Gaya Khloe Kardashian Lewat Rambut Barunya,clickbait,1
"Kerap Ditanya Kapan Nikah, Begini Jawaban Chand Kelvin",clickbait,1
Cerita Natasha Wilona Bertemu Penggemar Garis Keras,non-clickbait,0
Potret Lain Camila Cabello dan Shawn Mendes saat Tampil di Publik,non-clickbait,0
Sam Smith Tampil Perdana Pakai High Heels di Red Carpet,non-clickbait,0
Rich Brian dan NIKI Siap Tampil di Hadapan Publik Indonesia,non-clickbait,0
"Lirik Lagu Louis Tomlinson, Kill My Mind",clickbait,1
Keseruan Nicky Tirta Berbagi Menu Masakan Baru Pada Kaum Ibu,clickbait,1
Kesulitan yang Dirasakan Prisia Nasution di Film Lorong,clickbait,1
"Ciptakan Euforia, Ini 5 Fakta Kedatangan NCT Dream ke Indonesia",clickbait,1
"Sempat Lihat Hantu di Rumah, Raffi Ahmad Santai",clickbait,1
"Jajal Dunia Akting, Ini yang Membuat Sivia Azizah Tertarik Main di Film NKCTHI",clickbait,1
"Bikin Heboh, Rossa Diapit 6 Anak Muda NCT Dream",clickbait,1
Sepak Terjang Jefri Nichol di Dunia Hiburan Hingga Terjerat Narkoba,clickbait,1
"Hari Radio Nasional, Ini 8 Selebriti Indonesia yang Merupakan Penyiar Radio",clickbait,1
Sivia Azizah Ungkap Rencana Debut sebagai Penyanyi Solo,clickbait,1
"Ikut Organisasi Anti Alkohol, Brad Pitt Berhenti Minum-Minuman Keras",non-clickbait,0
Cerita Melanie Subono Ada di Samping BJ Habibie saat Meninggal Dunia,clickbait,1
Tegarnya Jefri Nichol Ditilik dari Zodiak Capricorn,clickbait,1
"Film Lorong, Rekor Terberat Prisia Nasution Jalani Syuting Lebih 24 Jam",non-clickbait,0
"Tak Ingin Jauh dari Ainun, BJ Habibie Dimakamkan di Sisi Sang Istri",non-clickbait,0
Begini Arti Nama Anak Kedua Sandra Dewi,clickbait,1
"Kronologi Meninggalnya BJ Habibie, Presiden RI ke-3",non-clickbait,0
"Zodiak Sagitarius, Natasha Wilona Tak Ingin Dikekang",non-clickbait,0
Cerita Detik-Detik Meninggalnya BJ Habibie,non-clickbait,0
Jenazah BJ Habibie Akan Dimakamkan Besok di TMP Kalibata,non-clickbait,0
Ungkapan Duka Cita Selebriti Atas Wafatnya BJ Habibie,non-clickbait,0
Mengenang Sosok BJ Habibie sebagai Ilmuwan dan Negarawan,non-clickbait,0
"Kabar Duka, BJ Habibie Presiden RI ke-3 Meninggal Dunia",non-clickbait,0
"Belajar dari Kisah Hidup BJ Habibie, Sang Intelek Penyayang Keluarga",non-clickbait,0
