title,label,label_score
"Diduga Pasok Sabu di Anambas, Adik Wali Kota Tanjungpinang Ditangkap",non-clickbait,0
Wanita dengan Tubuh Berisi Terbukti Bikin Pria Lebih Bahagia,clickbait,1
Kronologi Lengkap Pemuda di Bandung Tusuk Gadis Pujaan karena Cinta Ditolak,clickbait,1
Pemain Thailand Beri Hormat ke Suporter Indonesia Usai Pertandingan,non-clickbait,0
"Kualitas Udara di Pontianak Berbahaya, Dinas Kesehatan Siagakan Rumah Oksigen",non-clickbait,0
"Sarapan Bikin Ngantuk, Mitos atau Fakta?",clickbait,1
"Soal Mahasiswa Pulang Kampung, Gubernur Papua Segera Temui Kapolri dan Kepala BIN",non-clickbait,0
"Pikap Tabrak Rumah di Kebon Jeruk, 2 Penghuni Terluka",non-clickbait,0
"Pikap Tabrak Rumah di Kebon Jeruk, 2 Penghuni Terluka",clickbait,1
Manajer Persib Imbau Bobotoh Tak Terpancing Insiden Pelemparan Batu,non-clickbait,0
"Unggah Foto Bersama Habibie, Syahrini: Semoga Dipertemukan dengan Ibu Ainun di Surga",clickbait,1
"Acungkan Pisau, Pria Ini Resahkan Pengunjung Pantai Kuta",clickbait,1
Aplikasi BASABali Wiki Raih Penghargaan Literasi UNESCO 2019,non-clickbait,0
"Pegawai KPK Jadi ASN, PPP Minta Gaji dan Tunjangan Mereka Tak Dikurangi",non-clickbait,0
PDI-P Tangsel: Kami Menutup Diri dari Calon yang Usung Politik Identitas,non-clickbait,0
"Pungut Kaleng Bekas, Siswa SD Temukan Mayat Bayi di Belakang Tempat Karaoke",non-clickbait,0
"Indonesia Vs Thailand, SUGBK Lebih Berisik oleh Suporter Tamu",non-clickbait,0
Polisi Gugur Setelah Terjatuh ke Lubang Pompa Air Saat Olah TKP Pencurian Motor,non-clickbait,0
"2 Lokalisasi di Kepri Ditutup, 56 PSK Dipulangkan ke Kampung Halaman",non-clickbait,0
"Minta Anggaran Naik ke Sri Mulyani, Anggota DPR Curhat Terjebak di Lift",clickbait,1
Senangnya Suporter Thailand Diberi Hadiah Jersey dan Syal Indonesia,clickbait,1
Penjelasan Pihak SD di Bekasi soal Video Pemukulan Seorang Siswa kepada Teman-temannya,clickbait,1
Dinas Kesehatan dan Pendidikan Diminta Bantu Sekolah yang Terdampak Asap Industri di Cilincing,non-clickbait,0
Bukalapak soal Kabar PHK: Penataan Diri Perusahaan Harus Dilakukan,non-clickbait,0
Mantan Anggota Komnas HAM HS Dillon Meninggal,non-clickbait,0
"Sibuk Hingga Batal Bertemu Pimpinan KPK, Ini Agenda Jokowi Seharian",clickbait,1
Spanduk Pecel Lele hingga Obat Kuat Jadi Cara Jakmania Kritik Persija,clickbait,1
Aplikasi Google Ungkap Fitur-fitur Kamera Baru di Pixel 4,clickbait,1
