title,label,label_score
94 Santriwati Blitar Keracunan Usai Menyantap Bakso,non-clickbait,0
Penguatan SDM Mahasiswa Asal Papua Jadi Wacana Perguruan Tinggi di Jawa Barat,non-clickbait,0
"Hadapi Pilkada 2020, PDIP Perkuat Konsolidasi Internal",non-clickbait,0
PDIP Buka Peluang Koalisi dengan Gerindra dan PKS di Pilkada 2020,non-clickbait,0
Juventus Tertahan di Kandang La Viola,non-clickbait,0
"Dinilai Lakukan Pembangkangan, Massa MPK Beri Kartu Merah kepada KPK",non-clickbait,0
"Unggul 15 Gol Bukan Terbesar, Ini Kemenangan Spektakuler Timnas Indonesia",clickbait,1
"Penataan Trotoar Cikini Berbasis Budaya, Sepanjang Jalur TIM Dibuat Mural",non-clickbait,0
"Pembalap Australia Terjatuh, Tim Indonesia Juarai Etape II Tour de Siak",non-clickbait,0
"Klasemen Grup G, Bima Yakin Gusur China",non-clickbait,0
Penjualan Mobil Daihatsu Naik 7% di Bulan Agustus,non-clickbait,0
Penampakan Helm Spesial Valentino Rossi di GP San Marino,clickbait,1
Lagu Anggun Terus Merangsek Naik di Billboard Dance Chart AS,non-clickbait,0
"Bule Inggris Ngamuk di Kuta Bali, Ancam Telanjang",clickbait,1
"Dibuka Tari Kinara Kinari, Balkonjazz Festival Sedot Animo Masyarakat",non-clickbait,0
Mahathir Tampung Zakir Naik karena Tak Ada Negara yang Menerima,non-clickbait,0
"SPBU Mini Meledak, Hancurkan Satu Rumah dan Motor",non-clickbait,0
Hella Luncurkan Dua Lampu LED Canggih di Mining Indonesia 2019,non-clickbait,0
Iran: Setiap Serangan akan Direspon dengan Keras!,non-clickbait,0
5 Cara Sederhana Meningkatkan Siklus Tidur,clickbait,1
Asops KSAL: Waspadai Ancaman di Selat Malaka dan Singapura,non-clickbait,0
Bianca Andreescu Dibekap Cedera Usai Juara AS Terbuka 2019,non-clickbait,0
Trump Benarkan Kematian Putra Osama bin Laden,non-clickbait,0
"Hendra/Ahsan Menang Cepat, Wahyu/Ade Sikat Juara Eropa",non-clickbait,0
"Tak Penuhi Panggilan, Polda Jatim Segera Tetapkan Veronica Koman Jadi DPO",non-clickbait,0
Lima Kisah Persahabatan Pemain Bintang La Liga,clickbait,1
Toilet Emas Dicuri dari Tempat Kelahiran Winston Churchill,non-clickbait,0
Anwar Ibrahim Berharap Duduki Jabatan PM Malaysia Tahun Depan,non-clickbait,0
"Babak I: Dua Gol Mane, Liverpool Ungguli Newcastle",non-clickbait,0
"Bangun Jalur Pedestrian, Ratusan PKL di Suryakancana Bogor Ditertibkan",non-clickbait,0
"Menpora Tersangka Suap, PKB: Kita Sangat Prihatin",non-clickbait,0
Wanita Pelaku Gendam Terekam CCTV Gentayangan di Kota Mojokerto,non-clickbait,0
Susunan Pemain Timnas Indonesia U-16 vs Kepulauan Mariana Utara,non-clickbait,0
Revisi UU untuk Mengembalikan Jati Diri KPK,non-clickbait,0
GM Tractors Optimis Penjualan Naik hingga 20% Tahun Ini,non-clickbait,0
"Ribut Mulut dengan Rossi, Marquez : Tindakan Rossi Aneh",clickbait,1
"Warganya Jadi Korban, Bupati Puncak Minta Stop Baku Tembak",non-clickbait,0
"Menang 1-0, Man United Merangsek ke Empat Besar",non-clickbait,0
"Spesifikasi Rinci OnePlus 7T, 7T Pro dan Tanggal Peluncurannya",non-clickbait,0
Kementan Dorong Tingkatkan Populasi Ternak untuk Wujudkan Swasembada Protein Hewani,non-clickbait,0
Pemindahan Ibu Kota Jadi Angin Segar Bagi Industri Properti,non-clickbait,0
"Mengenal Glaukoma, Penyakit yang Bikin Thareq Habibie Pakai Penutup Mata",clickbait,1
"Ditinggal Salat Jumat, Mobil Rico Ceper Dibobol Maling",clickbait,1
Trio United Absen di Markas West Ham,non-clickbait,0
Bea Cukai Amankan Ratusan Ribu Batang Rokok Ilegal di Pulau Sumbawa,non-clickbait,0
"Pondok Pesantren di Lombok Timur Terbakar, Hanguskan Lima Ruang Belajar",non-clickbait,0
