title,label,label_score
"Franda Hampir Sebulan Absen Main Instagram, Foto Vechia di Postingan Samuel Zylgwyn Obati Rindu Fans",clickbait,1
Pengamat Sebut DPR Akan 'Jinak' Pasca Hengkangnya Fadli-Fahri dari Kursi Kepemimpinan,clickbait,1
Joaquin Phoenix dan Robert De Niro Ternyata Tak Saling Bicara di Lokasi Syuting 'Joker',clickbait,1
"Sehun EXO Nyusup ke Grup Chat Fans Demi Promosikan Album Chen, Bagikan Foto-Foto Kocak Ini",clickbait,1
"Persoalkan Pimpinan, Sidang Perdana MPR Bahas Pembentukan Fraksi Diwarnai Interupsi",non-clickbait,0
'Flower Crew' Kembali Kalahkan 'Vagabond' Jadi Drama Terbanyak Dibicarakan,clickbait,1
Dandanan Seulgi Red Velvet di Event Gucci Dibilang Kampungan,clickbait,1
"Korea Drama Awards 2019: SKY Castle Best Drama, Ini Daftar Lengkap Pemenangnya",clickbait,1
"Angkat Tema ‘Kawal Wajah Baru DPR’, Program Acara ‘Hotroom’ Metro TV Tuai Pujian",clickbait,1
Cerita Lucu Jin BTS Tak Sengaja Papasan dengan Suga Saat Bersepeda ke Kantor,clickbait,1
"Kocak, Mahasiwa Ini Goyang 'Entah Apa yang Merasukimu' Di Hadapan Rektor Saat Wisuda",clickbait,1
Polisi Tetapkan Tersangka Grup WhatsApp STM 'Hasil Rekayasa',non-clickbait,0
Sri Mulyani Ungkap Perbedaan APBN Era Jokowi dan Presiden Soeharto,clickbait,1
" Sebagai Mantan, Delon Thamrin Beri Pesan Ini Ke Suami Tajir Jill Gladys",clickbait,1
"'Be Melodramatic' Tamat Raih Rating 1 Persen, Netizen Kompak Beri Pujian Selangit",clickbait,1
"Yasonna Undur Diri, Jokowi Tunjuk Tjahjo Kumolo Jadi Plt Menkumham",non-clickbait,0
"Prihatin Dengan Sikap Anarkis, Cinta Laura Himbau Agar Tidak Ada Demo Lagi",non-clickbait,0
" Adik Verrell Bramasta 'Tak Sengaja' Bocorkan Febby Rastanty Ikut Liburan Keluarga, Sukses Cinlok?",clickbait,1
"Upacara Hari Kesaktian Pancasila, Bupati Madiun Hapus Stigma 'Kota PKI'",non-clickbait,0
Polri Pastikan 11 Korporasi dan 325 Orang Sebagai Tersangka Karhutla,non-clickbait,0
"EXO Brutal di Panggung, Ramai-Ramai Robek Baju Suho",clickbait,1
"Saking Bagusnya, SM Tenyata Pilih Lirik Buatan Chen Untuk Lagu 'Flower' Dan Tolak Punya Lirikus Top",clickbait,1
"Semakin Mendunia, BTS Ditunjuk Jadi Model Global Brand Fashion Ternama",clickbait,1
"Ussy Sulistiawaty Difoto 'Cowok Lain', Reaksi 'Posesif' Andhika Pratama Curi Perhatian",clickbait,1
 Shafa Harris dan Bastian Kedapatan 'Ribut' Di Kolom Komentar Gara-gara Hal Sepele Ini,clickbait,1
"Ketahuan Bawa Bedak, Desta Senyum Malu Beri Alasan Buat Hilangkan Muka Berminyak",clickbait,1
"Krisdayanti Umbar 'Cincin Thanos' Mewah di Pelantikan DPR, Suami Curhat Bisnis Gulung Tikar?",clickbait,1
"Usai Gejayan Memanggil Jilid 2, Sejumlah Peserta Aksi Terima Pesan #gejayancarirecehan",clickbait,1
"Akting Dikritik, Shin Se Kyung Bangga Bintangi 'Rookie Historian Goo Hae Ryung'",clickbait,1
"Jadi Anggota DPR Termuda, Hillary Brigitta Lasut Ingin Selesaikan RKUHP",clickbait,1
Parpol Koalisi Jokowi Soal Perppu UU KPK: Itu Opsi Terakhir,non-clickbait,0
'Joker' Kalahkan 'Avengers: Endgame' Sebagai Film Adaptasi Komik Terbaik di IMDb,clickbait,1
Garuda Indonesia dan Sriwijaya Air Sudah Kembali 'Mesra' Usai Sempat Kisruh,clickbait,1
"Bebby Fey Curhat Takut Bulu, Nama Atta Halilintar Hingga Genderuwo Malah Diseret",clickbait,1
"Gyuri eks Kara Diam-Diam Pacari Brondong Tajir, Intip Foto-Foto Kencan Mereka",clickbait,1
Fairuz A. Rafiq Cerita Pengalaman Sewa Hotel di Korea Tempat Lee Min Ho Menginap,clickbait,1
"Peringati Hari Kesaktian Pancasila, Anies Baswedan Sebut Ancaman Komunis",non-clickbait,0
"Grup Baru JYP, Boy Story Dikritik Habis-Habisan Usai 'Numpang' Tampil di K-CON Thailand",clickbait,1
"Demo Mahasiswa Berakhir Rusuh, Nikita Mirzani Beri Pesan Bijak Ini",clickbait,1
"Usia Pernikahan Adele dan Simon Konecki Terungkap di Dokumen Perceraian, Ternyata Tak Sampai Setahun",clickbait,1
"Billy Syahputra Terjebak Demo Yang Berakhir Ricuh, Sempat Diomeli Gara-Gara Abadikan Momen Kerusuhan",clickbait,1
"Enggak Hanya Melembabkan, Berikut 8 Kegunaan Penting Penggunaan Body Lotion Untuk Kulit!",clickbait,1
Kapolda Papua Sebut Rusuh Di Wamena Akibat Berita Hoaks Medsos,non-clickbait,0
Rosa Meldianti Bersiap Ikuti Ajang Puteri Indonesia Tahun Depan Langsung Ramai Dicibir,clickbait,1
"Bukti Manipulasi Voting 'Produce X 101' Seret 3 Agensi, X1 Diminta Tukar Member",clickbait,1
Jackson GOT7 Buka-Bukaan Soal Hubungan Dekatnya dengan RM BTS,clickbait,1
KPK Periksa Dua Orang Saksi Terkait Kasus Dugaan Korupsi Eks Menpora,non-clickbait,0
Lee Jinhyuk Akhirnya Umumkan Tanggal Debut Solo dan Rilis Akun Media Sosial Resmi,clickbait,1
"Rujuk Dengan Garuda Indonesia, Sriwijaya Air Bakal Kembali Mengudara",non-clickbait,0
Puluhan Orang Tua Antre Jemput Anak Usai Ratusan Pendemo Diamankan,non-clickbait,0
"Frederika Cull 'Puteri Indonesia 2019' Ungkap Rasa Cinta, Reaksi Ibunda Bikin Boy William Ngakak",clickbait,1
"Spider-Man Kembali ke MCU, Diprediksi Bakal Boyong Venom Hingga Sinister Six",non-clickbait,0
 Pose Denada Tiduran Di Atas Meja Pakai Busana Transparan Jadi Bahan Gunjingan,clickbait,1
"Ikuti Selera Generasi Muda, Menteri PUPR Tak Bakal Bangun Mall di Ibu Kota Baru",non-clickbait,0
