title,label,label_score
"Prediksi Susunan Pemain Timnas Inggris vs Kosovo, Gareth Southgate akan Rotasi Tim",non-clickbait,0
"Ambil Formulir Pilkada Tangsel dari PDI-P, Siti Nur Azizah Sudah Izin Ma'ruf Amin",non-clickbait,0
"Mulan Jameela Mantan Duet Maia Estianty Rela Makan Nasi Garam, Keuangan Istri Ahmad Dhani Sulit?",clickbait,1
"Dukung Operasional Bandara Internasional Kertajati, Pasokan Avtur Perlahan Bergeliat",non-clickbait,0
"KPK Cekal Melchias Markus Mekeng, Golkar Minta Tidak Buruk Sangka Dahulu",non-clickbait,0
"Harga Samsung Galaxy A10, Simak Spesifikasi dan Fitur Unggulannya!",clickbait,1
"Kasus Oknum Kepsek dan Guru TK Berbuat Mesum, Warga Curiga Ada Sepeda Motor Malam-malam di Sekolah",non-clickbait,0
Valeninto Masih Ikut Balap Bikin Terkesan Max Verstappen,non-clickbait,0
"Seorang Wanita Gantung Diri Setelah Cekcok dengan Suami soal Foto Pelukan, Tulis Pesan Terakhir",clickbait,1
"Dapat Sorakan Dari Suporter Indonesia, Simon Bela Kiper Andritany",clickbait,1
"Suporter Indonesia Kecewa, Simon McMenemy Bicara Soal Ekspektasi Berlebihan",clickbait,1
'Gadis biru' Iran meninggal karena membakar diri sesudah dilarang menonton sepak bola di stadion,clickbait,1
Sektor Kesehatan Disarankan Dibenahi Demi Wujudkan SDM Indonesia yang Unggul,non-clickbait,0
Valentino Rossi Keliling Kota Jelang Digelarnya MotoGP San Marino 2019,non-clickbait,0
Ronde IV Kejuaraan Terbuka Lintas Alam Gantolle Piala Telomoyo V 2019 Batal Karena Cuaca Buruk,non-clickbait,0
Masinton Tantang KPK Tunjukkan Data Capim Bermasalah,non-clickbait,0
"ZODIAK KESEHATAN BESOK Ramalan Zodiak Kesehatan Rabu 11 September 2019 Taurus Lelah, Scorpio Stres",clickbait,1
"Persib Bandung Punya Tambahan Gelandang Ciamik, Namanya Abdul Aziz",non-clickbait,0
"Nekat Jalan Kaki Nyebrang Tol JORR di Pasar Minggu, Perempuan Asal Wonogiri Tewas Ditabrak Mobil",non-clickbait,0
Indonesia vs Thailand: Pendukung Indonesia Teriak 'Simon Out',clickbait,1
"Kecelakaan Innova Vs Bus di Nganjuk, Korban Selamat Diduga Pengedar Narkoba yang Diburu Polisi",non-clickbait,0
