title,label,label_score
"Terkait Mayat Bayi Mengenaskan di Tangerang, Seorang Pria Ditangkap Polisi",non-clickbait,0
"Uang Rp 1,6 M yang Raib di Parkiran Kantor Gubernur Sumut untuk Honor TAPD",non-clickbait,0
Muncul Istana di Tengah Rekonsiliasi Rusuh Papua,non-clickbait,0
"Mayat di Ladang Tebu Malang Adalah Begal, Dibunuh Remaja yang Dipalaknya",non-clickbait,0
"Jenguk BJ Habibie, Ketua Dewan Pers M Nuh: Prosesnya Positif, Bagus",non-clickbait,0
Seorang Pria Depresi Bakar Mobilnya Sendiri di Tempat Pembuangan Akhir,non-clickbait,0
KPK Cegah Ketua Fraksi Golkar Melchias Mekeng ke Luar Negeri,non-clickbait,0
Detik-detik Lima Kendaraan Alami Kecelakaan Beruntun di Cipularang,clickbait,1
"Selidiki Kasus Ular Dibuang di Asrama Papua, Polisi Terganjal Akses Masuk",non-clickbait,0
Kronologi Barista Tikam Siswi SMK Bandung karena Cinta Ditolak,non-clickbait,0
"Respons JK, KPK Sebut SP3 Bisa Disalahgunakan",non-clickbait,0
"Hampir Seluas Jabar, Ini Tantangan Sintang Siapkan Generasi Emas",clickbait,1
"Gadai SK Hal yang Wajar, DPRD Surabaya: Tak Banyak Bank yang Melirik",non-clickbait,0
"Karyawan Pabrik Boneka Keracunan, Polisi Sita Sayur Nangka",non-clickbait,0
Gubernur Edy Belum Tahu Uang Miliaran Milik Pemprov Hilang,non-clickbait,0
Giliran Alumni Unnes Serukan Tolak Revisi UU KPK,non-clickbait,0
"Gadaikan SK, Anggota DPRD Jabar Terima Kredit hingga Rp 1 Miliar",non-clickbait,0
"Jadi Tersangka, Eks Dirut Petral Diduga Terima Suap USD 2,9 Juta",non-clickbait,0
Jaksa: Duit Rp 25 Juta dari Kivlan Zen Modal Mata-matai Wiranto dan Luhut,non-clickbait,0
"Sebut Pemilihan Capim KPK Cacat Yuridis, Ini Saran Samad ke DPR",clickbait,1
Adik soal Hoax Habibie Meninggal: Mbok Jangan Gitu Isengnya,non-clickbait,0
"JK Bicara Perlunya KPK Punya SP3, Contohkan Kasus RJ Lino",non-clickbait,0
Tidur Siang 1-2 Kali Seminggu Kurangi Kemungkinan Serangan Jantung,non-clickbait,0
Detik-detik Mencekam Perampokan di Rumah Makan Gratis untuk Duafa di Bogor,clickbait,1
"Dirawat Intensif di RSPAD, BJ Habibie Salat Sambil Berbaring",non-clickbait,0
"Cerita Warga di Jepara, Mandi Sehari Sekali Akibat Kekeringan",non-clickbait,0
Jokowi Terbang dari Aceh ke Wamena: Jauhnya Seperti London ke Istanbul,non-clickbait,0
"Ada Ganjil Genap, Anies Sebut Pengguna Angkutan Umum Capai Rekor",non-clickbait,0
Video Porno Pasangan Dewasa Gegerkan Sumedang,non-clickbait,0
"Usai Jenguk BJ Habibie, Anies: Semoga Allah Turunkan Mukjizat",non-clickbait,0
Masih Ada Pengemudi yang Melanggar di Hari Ke-2 Ganjil Genap Jaksel,non-clickbait,0
Begini Suasana Antre Ngalap Berkat Buka Luwur Sunan Kudus,non-clickbait,0
Curhatan 'Korban Bully' Pansel KPK di Depan Komisi III,non-clickbait,0
Cerita Ngeri Bocah Bogor Dibunuh Setelah Disodomi,non-clickbait,0
"Hindari Razia, Wanita Diduga PSK di Makassar Sembunyi di Selokan",non-clickbait,0
"Asrama Mahasiswa Papua Dilempar Karung Berisi Ular, Polisi: Itu Hoaks",non-clickbait,0
"Beredar Isu Habibie Meninggal, Keluarga: Hoax",non-clickbait,0
"Anggota DPRD Banten Gadai SK, Komisi II DPR: Tutup Utang Kampanye?",clickbait,1
Komisi III DPR: Revisi UU KPK Tak Jadi 'Barang' Tanpa Surpres Jokowi,non-clickbait,0
"Soal Aduan Penetapan Tersangka Veronica Koman, Ini Kata Komnas HAM",clickbait,1
Ini Hasil Mediasi PT KA dan Warga Blitar soal Pelintasan Sebidang Diportal,non-clickbait,0
"Korban Cium Pipi Saat Selfie Tolak Damai, Ingin Tersangka Dihukum",non-clickbait,0
Viral Video Korban Kecelakaan Maut di Nganjuk Ingin Bikin 'Video Tabrakan',clickbait,1
"KPK Tegas Menolak Revisi UU, Romli Beri Analogi 'Servis Mobil'",non-clickbait,0
Begini Usaha Perusahaan Startup Jerman Untuk Raih Talenta Terbaik,non-clickbait,0
Apakah Pekerja Masih Dibutuhkan Pertambangan Australia Saat Otomatisasi Makin Marak?,clickbait,1
"Kemarau, Warga Bandung Barat Mandikan Jenazah Pakai 5 Galon Air",non-clickbait,0
"Pengacara: Kivlan Zen Siap Sekali Jalani Sidang, Ini yang Ditunggu-tunggu",clickbait,1
"Banyuwangi Luncurkan Kuliner Pintar, Pedagangnya Pakai Kompor Induksi",non-clickbait,0
Ini Opsi PDAM Surabaya Agar 60 Ribu Pelanggan Kembali Menikmati Air,clickbait,1
Alasan Anggota DPRD Jabar Gadaikan SK: Utang Kampanye-Beli Rumah,non-clickbait,0
"Remaja Asal Asahan Alami Kebutaan, Ngaku Keseringan Main Game Online",non-clickbait,0
Hantu dan Nikmatnya Imajinasi,non-clickbait,0
"Dituduh Hamili Perempuan Muda, Kades: Saya Booking",clickbait,1
Anggota Komisi III DPR Ungkap Kriteria Penilaian Capim KPK,non-clickbait,0
"Lagi, Kebakaran Melanda Lereng Gunung Merbabu",non-clickbait,0
"Ketum FPI Bingung Dipanggil soal Makar 17 April, Ini Kata Polisi",clickbait,1
"Bunuh Begal yang Memalaknya, Remaja di Malang Jaga Kehormatan Pacarnya",non-clickbait,0
Ormas Garbi Bertransformasi,non-clickbait,0
Ini Kendala Pemprov Jatim Tertibkan Tambang Pasir di Sungai Brantas,non-clickbait,0
Ini Harapan Sri Mulyani-Komarudin Hidayat untuk Rektor Baru UI 2019-2024,clickbait,1
Begini Awal Mula Kecelakaan Maut di Lampung yang Tewaskan 8 Orang,clickbait,1
LSM SAFEnet: RUU KKS Bikin BSSN Jadi Lembaga Superbody?,clickbait,1
"Hingga Tutup Usia, Para Profesor Begawan Hukum Ini Tak Lihat RUU KUHP Disahkan",non-clickbait,0
Viral Pasangan ABG Depok Berbuat Mesum di Kontrakan Digerebek Polisi,clickbait,1
Menhan soal Pelaku Pembacokan Anggota TNI di Papua: Nyaru Pakai Baju SMA,non-clickbait,0
"1 Terduga Teroris Bekasi Berasal dari Cianjur, Warga Kaget",non-clickbait,0
"Siswa, Pedagogi, dan ""Climate Strike""",non-clickbait,0
Prabowo Singgung Angka Stunting Indonesia Tinggi: What is Wrong?,clickbait,1
Ada 19 Titik Rekahan Tanah di Ponorogo yang Keluarkan Api,non-clickbait,0
